rank,owner_address,owner_type,ownership_sources,non_custodial_direct_cpal,non_custodial_direct_cpal_raw,attributed_backstop_cpal_equivalent,attributed_backstop_cpal_equivalent_raw,unattributed_backstop_custody_cpal,unattributed_backstop_custody_cpal_raw,flattened_total_cpal,flattened_total_cpal_raw,share_of_total_supply_percent_12dp,backstop_pool_count,backstop_pool_names,backstop_pool_addresses
188,GATFD6DPZ7SQGWEUBKXO5WCKCRWKCI5NE6H3KYY3NWYBZB74SVPGWEGN,account,direct+backstop_attributed,53.1029743,531029743,681.0517135,6810517135,0.0000000,0,734.1546878,7341546878,0.005024993656,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
189,GDNREBWS4RV6TJIG67D7GENUYXXALGIECEODEOY5HRYMEWBGJGQTXUHW,account,direct+backstop_attributed,62.0947581,620947581,641.2023477,6412023477,0.0000000,0,703.2971058,7032971058,0.004813785914,2,Fixed|YieldBlox,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD|CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
190,GAYO3E3XPRY2E45CI6WVC2TKV32E5SDQQWVKNKPQJVNCGXUW3ZVFXFQ3,account,backstop_attributed,0.0000000,0,695.1970950,6951970950,0.0000000,0,695.1970950,6951970950,0.004758344597,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
191,GBCRDN4B6KY456PNKGPTB7OJXEHOBMMZ6EQ23TIRBMIXZUUJODL5RDYM,account,backstop_attributed,0.0000000,0,683.3886691,6833886691,0.0000000,0,683.3886691,6833886691,0.004677520670,2,Fixed|YieldBlox,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD|CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
192,GD4FPIU7SHTOPO2KFDNWUPFW2C6Z2JGDTFDLEDNT5JON2HBK6Q7HN3DV,account,backstop_attributed,0.0000000,0,660.8972582,6608972582,0.0000000,0,660.8972582,6608972582,0.004523576005,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
193,GC5HTG6WYTMW4LOJF7IM7TEGIKP6ZY2K7L4HGNQDF7GSJRA5CS5QB2A5,account,backstop_attributed,0.0000000,0,623.6684150,6236684150,0.0000000,0,623.6684150,6236684150,0.004268759542,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
194,GCUXQ2D6IQMTLDUFBCDJ5LY2ALY3AJFOQPPJ4BL2B2SIRDGFG3KH7V3U,account,backstop_attributed,0.0000000,0,561.8213808,5618213808,0.0000000,0,561.8213808,5618213808,0.003845441460,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
195,GD25WGXPNX74NJHXOD4YMEEW3WWA6GR67TNYGPME3HPIEN3QLMRLFQV7,account,backstop_attributed,0.0000000,0,560.2559686,5602559686,0.0000000,0,560.2559686,5602559686,0.003834726843,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
196,GCQMY25BMVCTFD55BJ2NADQS4RFZOYDHS37DD6FLRH2PYXSTP32MAFZD,account,backstop_attributed,0.0000000,0,551.5111740,5515111740,0.0000000,0,551.5111740,5515111740,0.003774872240,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
197,GBP5SEQK5BJZNUMJD5CZ7NTP3BCX7NXFPJEEYPQF55GSNJXJA2DMRFJP,account,backstop_attributed,0.0000000,0,504.7116614,5047116614,0.0000000,0,504.7116614,5047116614,0.003454548393,1,Orbit,CAE7QVOMBLZ53CDRGK3UNRRHG5EZ5NQA7HHTFASEMYBWHG6MDFZTYHXC
198,GAXMNHRN3LGE72DECAZIHKWDX6ITPO6IMUB7XJRUGDP4AHGBHWPD75YL,account,backstop_attributed,0.0000000,0,467.1777438,4671777438,0.0000000,0,467.1777438,4671777438,0.003197643818,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
199,GABX66IJGCEZC77VHHVSRUVN2NMFT256K2HNIGQD5DTZMJVEYE5K5GC4,account,backstop_attributed,0.0000000,0,438.2913957,4382913957,0.0000000,0,438.2913957,4382913957,0.002999928379,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
200,GBOYKBTFCAVPWRKCHPRWRCDTTFLEWHYWI56X5F56J4F6RWJ6KLR4M5ZG,account,backstop_attributed,0.0000000,0,435.4064374,4354064374,0.0000000,0,435.4064374,4354064374,0.002980182000,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
201,GDCXLIKTW5AFX4TBQSELDVXESKGODYVZVXDXVP2HWZH3QFUD6DCVVCY5,account,direct+backstop_attributed,433.4871047,4334871047,0.0517124,517124,0.0000000,0,433.5388171,4335388171,0.002967398890,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
202,GDFUZMY462HQXNGZXE6Y53LGUF4CMML2AU37C2RTFPT4XUFM25ZIFK7B,account,backstop_attributed,0.0000000,0,421.8915753,4218915753,0.0000000,0,421.8915753,4218915753,0.002887678203,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
203,GBEXED74JAQ6LBTDFOKIITCEZLUU5T2W7J6MWJVR6QL5QMTMFCC5Z7ZJ,account,backstop_attributed,0.0000000,0,417.9850014,4179850014,0.0000000,0,417.9850014,4179850014,0.002860939275,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
